,full_label,hemi,Yeo_17_nets,labels,index,Yeo_7_nets
54,17Networks_LH_Limbic_TempPole_3,lh,Limbic,TempPole_3,54.0,Limbic
55,17Networks_LH_Limbic_TempPole_4,lh,Limbic,TempPole_4,55.0,Limbic
56,17Networks_LH_ContA_Temp_1,lh,ContA,Temp_1,56.0,Control
57,17Networks_LH_ContA_IPS_1,lh,ContA,IPS_1,57.0,Control
58,17Networks_LH_ContA_IPS_2,lh,ContA,IPS_2,58.0,Control
59,17Networks_LH_ContA_IPS_3,lh,ContA,IPS_3,59.0,Control
60,17Networks_LH_ContA_PFCd_1,lh,ContA,PFCd_1,60.0,Control
61,17Networks_LH_ContA_PFCl_1,lh,ContA,PFCl_1,61.0,Control
62,17Networks_LH_ContA_PFCl_2,lh,ContA,PFCl_2,62.0,Control
63,17Networks_LH_ContA_PFCl_3,lh,ContA,PFCl_3,63.0,Control
64,17Networks_LH_ContA_PFCl_4,lh,ContA,PFCl_4,64.0,Control
65,17Networks_LH_ContA_Cinga_1,lh,ContA,Cinga_1,65.0,Control
66,17Networks_LH_ContB_Temp_1,lh,ContB,Temp_1,66.0,Control
67,17Networks_LH_ContB_IPL_1,lh,ContB,IPL_1,67.0,Control
68,17Networks_LH_ContB_PFCl_1,lh,ContB,PFCl_1,68.0,Control
69,17Networks_LH_ContB_PFClv_1,lh,ContB,PFClv_1,69.0,Control
70,17Networks_LH_ContB_PFClv_2,lh,ContB,PFClv_2,70.0,Control
71,17Networks_LH_ContC_pCun_1,lh,ContC,pCun_1,71.0,Control
72,17Networks_LH_ContC_pCun_2,lh,ContC,pCun_2,72.0,Control
73,17Networks_LH_ContC_Cingp_1,lh,ContC,Cingp_1,73.0,Control
74,17Networks_LH_DefaultA_IPL_1,lh,DefaultA,IPL_1,74.0,Default
75,17Networks_LH_DefaultA_PFCd_1,lh,DefaultA,PFCd_1,75.0,Default
76,17Networks_LH_DefaultA_PCC_1,lh,DefaultA,PCC_1,76.0,Default
77,17Networks_LH_DefaultA_PCC_2,lh,DefaultA,PCC_2,77.0,Default
78,17Networks_LH_DefaultA_PCC_3,lh,DefaultA,PCC_3,78.0,Default
79,17Networks_LH_DefaultA_PFCm_1,lh,DefaultA,PFCm_1,79.0,Default
80,17Networks_LH_DefaultA_PFCm_2,lh,DefaultA,PFCm_2,80.0,Default
81,17Networks_LH_DefaultA_PFCm_3,lh,DefaultA,PFCm_3,81.0,Default
82,17Networks_LH_DefaultB_Temp_1,lh,DefaultB,Temp_1,82.0,Default
83,17Networks_LH_DefaultB_Temp_2,lh,DefaultB,Temp_2,83.0,Default
84,17Networks_LH_DefaultB_Temp_3,lh,DefaultB,Temp_3,84.0,Default
85,17Networks_LH_DefaultB_Temp_4,lh,DefaultB,Temp_4,85.0,Default
86,17Networks_LH_DefaultB_IPL_1,lh,DefaultB,IPL_1,86.0,Default
87,17Networks_LH_DefaultB_PFCd_1,lh,DefaultB,PFCd_1,87.0,Default
88,17Networks_LH_DefaultB_PFCd_2,lh,DefaultB,PFCd_2,88.0,Default
89,17Networks_LH_DefaultB_PFCd_3,lh,DefaultB,PFCd_3,89.0,Default
90,17Networks_LH_DefaultB_PFCd_4,lh,DefaultB,PFCd_4,90.0,Default
91,17Networks_LH_DefaultB_PFCv_1,lh,DefaultB,PFCv_1,91.0,Default
92,17Networks_LH_DefaultB_PFCv_2,lh,DefaultB,PFCv_2,92.0,Default
93,17Networks_LH_DefaultB_PFCv_3,lh,DefaultB,PFCv_3,93.0,Default
94,17Networks_LH_DefaultB_PFCv_4,lh,DefaultB,PFCv_4,94.0,Default
95,17Networks_LH_DefaultC_IPL_1,lh,DefaultC,IPL_1,95.0,Default
96,17Networks_LH_DefaultC_Rsp_1,lh,DefaultC,Rsp_1,96.0,Default
97,17Networks_LH_DefaultC_PHC_1,lh,DefaultC,PHC_1,97.0,Default
98,17Networks_LH_TempPar_1,lh,TempPar,TempPar_1,98.0,Default
99,17Networks_LH_TempPar_2,lh,TempPar,TempPar_2,99.0,Default
100,17Networks_RH_VisCent_ExStr_1,rh,VisCent,ExStr_1,100.0,Visual
101,17Networks_RH_VisCent_ExStr_2,rh,VisCent,ExStr_2,101.0,Visual
102,17Networks_RH_VisCent_ExStr_3,rh,VisCent,ExStr_3,102.0,Visual
103,17Networks_RH_VisCent_ExStr_4,rh,VisCent,ExStr_4,103.0,Visual
104,17Networks_RH_VisCent_ExStr_5,rh,VisCent,ExStr_5,104.0,Visual
105,17Networks_RH_VisCent_ExStr_6,rh,VisCent,ExStr_6,105.0,Visual
106,17Networks_RH_VisPeri_ExStrSup_1,rh,VisPeri,ExStrSup_1,106.0,Visual
107,17Networks_RH_VisPeri_ExStrSup_2,rh,VisPeri,ExStrSup_2,107.0,Visual
108,17Networks_RH_VisPeri_ExStrSup_3,rh,VisPeri,ExStrSup_3,108.0,Visual
109,17Networks_RH_VisPeri_ExStrSup_4,rh,VisPeri,ExStrSup_4,109.0,Visual
110,17Networks_RH_VisPeri_ExStrSup_5,rh,VisPeri,ExStrSup_5,110.0,Visual
111,17Networks_RH_VisPeri_ExStrSup_6,rh,VisPeri,ExStrSup_6,111.0,Visual
112,17Networks_RH_SomMotA_1,rh,SomMotA,SomMotA_1,112.0,Motor
113,17Networks_RH_SomMotA_2,rh,SomMotA,SomMotA_2,113.0,Motor
114,17Networks_RH_SomMotA_3,rh,SomMotA,SomMotA_3,114.0,Motor
115,17Networks_RH_SomMotA_4,rh,SomMotA,SomMotA_4,115.0,Motor
116,17Networks_RH_SomMotA_5,rh,SomMotA,SomMotA_5,116.0,Motor
117,17Networks_RH_SomMotA_6,rh,SomMotA,SomMotA_6,117.0,Motor
